fragment_ids,grades,gs_rating,lat,level,level_codes,link,location,lon,name,region_id,school_id,size,students_per_teacher,type
,PK-5,9,40.6796,Elementary,[u'Elementary'],/new-york-ny/schools/ps-146-63660/,"[-74.002, 40.6796]",-74.002,P.S. 146,564257,63660,654,14,Public
,PK-5,9,40.6498,Elementary,[u'Elementary'],/new-york-ny/schools/ps-249-the-caton-64484/,"[-73.9663, 40.6498]",-73.9663,Ps 249 The Caton,479046,64484,895,16,Public
,6-8,9,40.6723,Middle,[u'Middle'],/new-york-ny/schools/the-school-of-integrated-learning-64658/,"[-73.9373, 40.6723]",-73.9373,The School Of Integrated Learning,474668,64658,221,10,Public
,PK-8,9,40.6549,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-235-lenox-school-64670/,"[-73.9409, 40.6549]",-73.9409,Ps 235 Lenox School,474679,64670,1282,18,Public
,K-8,9,40.6773,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/achievement-first-apollo-charter-school-157738/,"[-73.8839, 40.6773]",-73.8839,Achievement First Apollo Charter School,634715,157738,679,10,Charter
,K-5,9,40.6069,Elementary,[u'Elementary'],/new-york-ny/schools/ps-682-the-academy-of-talented-scholars-165032/,"[-73.9867, 40.6069]",-73.9867,P.S. 682 The Academy of Talented Scholars,744438,165032,351,9,Public
,K-8,9,40.6069,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/brooklyn-school-of-inquiry-165033/,"[-73.9867, 40.6069]",-73.9867,Brooklyn School Of Inquiry,744688,165033,513,22,Public
,PK-5,8,40.7268,Elementary,[u'Elementary'],/new-york-ny/schools/ps-31-samuel-f-dupont-49707/,"[-73.9542, 40.7268]",-73.9542,Ps 31 Samuel F Dupont,467050,49707,612,16,Public
,PK-5,8,40.7021,Elementary,[u'Elementary'],/new-york-ny/schools/ps-380-john-wayne-elementary-school-49728/,"[-73.9535, 40.7021]",-73.9535,Ps 380 John Wayne Elementary School,467071,49728,663,13,Public
,K-8,8,40.6178,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-is-104-the-fort-hamilton-school-52321/,"[-74.0286, 40.6178]",-74.0286,Ps Is 104 The Fort Hamilton School,468367,52321,1232,16,Public
,K-5,8,40.6369,Elementary,[u'Elementary'],/new-york-ny/schools/ps-160-william-t-sampson-52325/,"[-73.9991, 40.6369]",-73.9991,Ps 160 William T Sampson,468372,52325,1387,15,Public
,K-8,8,40.607,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-163-bath-beach-52326/,"[-74.0072, 40.607]",-74.0072,Ps 163 Bath Beach,468373,52326,627,14,Public
,PK-5,8,40.6372,Elementary,[u'Elementary'],/new-york-ny/schools/ps-164-caesar-rodney-52327/,"[-73.9858, 40.6372]",-73.9858,Ps 164 Caesar Rodney,468374,52327,596,13,Public
,K-5,8,40.6248,Elementary,[u'Elementary'],/new-york-ny/schools/ps-176-ovington-52329/,"[-74.0053, 40.6248]",-74.0053,Ps 176 Ovington,468376,52329,1411,17,Public
,PK-8,8,40.6266,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/the-seeall-academy-52331/,"[-73.9896, 40.6266]",-73.9896,The Seeall Academy,468378,52331,1117,13,Public
,K-5,8,40.6236,Elementary,[u'Elementary'],/new-york-ny/schools/ps-185-walter-kassenbrock-52332/,"[-74.0336, 40.6236]",-74.0336,Ps 185 Walter Kassenbrock,468380,52332,661,18,Public
,K-5,8,40.6111,Elementary,[u'Elementary'],/new-york-ny/schools/ps-186-dr-irving-a-gladstone-52333/,"[-73.9945, 40.6111]",-73.9945,Ps 186 Dr Irving A Gladstone,468381,52333,995,16,Public
,6-8,8,40.6408,Middle,[u'Middle'],/new-york-ny/schools/jhs-220-john-j-pershing-52339/,"[-74.001, 40.6408]",-74.001,Jhs 220 John J Pershing,468388,52339,1432,13,Public
,6-8,8,40.6348,Middle,[u'Middle'],/new-york-ny/schools/jhs-223-the-montauk-52340/,"[-73.982, 40.6348]",-73.982,Jhs 223 The Montauk,468389,52340,1003,14,Public
,PK-8,8,40.5867,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-209-margaret-mead-52478/,"[-73.9618, 40.5867]",-73.9618,Ps 209 Margaret Mead,468458,52478,711,12,Public
,6-8,8,40.601,Middle,[u'Middle'],/new-york-ny/schools/is-228-david-a-boody-52484/,"[-73.9768, 40.601]",-73.9768,Is 228 David A Boody,468467,52484,1360,15,Public
,PK-5,8,40.5799,Elementary,[u'Elementary'],/new-york-ny/schools/ps-253-52487/,"[-73.962, 40.5799]",-73.962,Ps 253,468471,52487,870,13,Public
,9-12,8,40.5804,High,[u'High'],/new-york-ny/schools/leon-m-goldstein-high-school-for-the-sciences-52651/,"[-73.9349, 40.5804]",-73.9349,Leon M Goldstein High School for the Sciences,470589,52651,1048,20,Public
,PK-8,8,40.6137,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-207-elizabeth-g-leary-52668/,"[-73.9302, 40.6137]",-73.9302,Ps 207 Elizabeth G Leary,470608,52668,1275,16,Public
,PK-5,8,40.6137,Elementary,[u'Elementary'],/new-york-ny/schools/ps-222-katherine-r-snyder-52670/,"[-73.9389, 40.6137]",-73.9389,Ps 222 Katherine R Snyder,470611,52670,886,13,Public
,PK-5,8,40.5907,Elementary,[u'Elementary'],/new-york-ny/schools/ps-254-dag-hammarskjold-52674/,"[-73.9515, 40.5907]",-73.9515,Ps 254 Dag Hammarskjold,470615,52674,777,16,Public
,PK-5,8,40.6043,Elementary,[u'Elementary'],/new-york-ny/schools/ps-255-barbara-reing-school-52675/,"[-73.9559, 40.6043]",-73.9559,Ps 255 Barbara Reing School,470616,52675,914,13,Public
,K-12,8,40.6977,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/achievement-first-bushwick-charter-school-52963/,"[-73.9193, 40.6977]",-73.9193,Achievement First Bushwick Charter School,622168,52963,1066,12,Charter
,9-12,8,40.7183,High,[u'High'],/new-york-ny/schools/bard-high-school-early-college-54647/,"[-73.976, 40.7183]",-73.976,Bard High School Early College,469444,54647,535,19,Public
,9-12,8,40.7425,High,[u'High'],/new-york-ny/schools/nyc-lab-high-school-for-collaborative-studies-54921/,"[-74.0025, 40.7425]",-74.0025,NYC Lab High School for Collaborative Studies,469683,54921,527,18,Public
,6-12,8,40.7391,Middle,"[u'Middle', u'High']",/new-york-ny/schools/school-of-the-future-high-school-54922/,"[-73.9853, 40.7391]",-73.9853,School of the Future High School,561066,54922,752,15,Public
,9-12,8,40.7424,High,[u'High'],/new-york-ny/schools/nyc-museum-school-54923/,"[-74.0024, 40.7424]",-74.0024,NYC Museum School,469684,54923,449,18,Public
,9-12,8,40.6855,High,[u'High'],/new-york-ny/schools/bedford-academy-high-school-63506/,"[-73.9541, 40.6855]",-73.9541,Bedford Academy High School,474226,63506,364,18,Public
,K-5,8,40.6608,Elementary,[u'Elementary'],/new-york-ny/schools/ps10-magnet-school-for-math-science-design-technology-63635/,"[-73.986, 40.6608]",-73.986,P.S.10 Magnet School for Math  Science & Design Technology,477047,63635,948,15,Public
,PK-5,8,40.6869,Elementary,[u'Elementary'],/new-york-ny/schools/ps-29-john-m-harrigan-63637/,"[-73.9978, 40.6869]",-73.9978,Ps 29 John M Harrigan,477049,63637,901,17,Public
,K-5,8,40.6686,Elementary,[u'Elementary'],/new-york-ny/schools/ps-39-henry-bristow-63640/,"[-73.9829, 40.6686]",-73.9829,Ps 39 Henry Bristow,477052,63640,425,15,Public
,K-5,8,40.657,Elementary,[u'Elementary'],/new-york-ny/schools/magnet-school-for-science-and-technology-63649/,"[-73.9761, 40.657]",-73.9761,Magnet School For Science And Technology,477060,63649,533,16,Public
,6-8,8,40.6603,Middle,[u'Middle'],/new-york-ny/schools/jhs-88-peter-rouget-63658/,"[-73.988, 40.6603]",-73.988,Jhs 88 Peter Rouget,511321,63658,1275,13,Public
,K-8,8,40.6654,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-189-lincoln-terrace-64479/,"[-73.9257, 40.6654]",-73.9257,Ps 189 Lincoln Terrace,479040,64479,1040,15,Public
,PK-5,8,40.6745,Elementary,[u'Elementary'],/new-york-ny/schools/ps-316-elijah-stroud-64486/,"[-73.9608, 40.6745]",-73.9608,Ps 316 Elijah Stroud,479048,64486,433,11,Public
,5-8,8,40.6976,Middle,[u'Middle'],/new-york-ny/schools/jhs-383-philippa-schuyler-64922/,"[-73.9193, 40.6976]",-73.9193,Jhs 383 Philippa Schuyler,474737,64922,952,18,Public
,6-12,8,40.6975,High,"[u'Middle', u'High']",/new-york-ny/schools/all-city-leadership-secondary-school-64939/,"[-73.9139, 40.6975]",-73.9139,All City Leadership Secondary School,510225,64939,385,,Public
,K-8,8,40.7047,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/is-119-the-glendale-68455/,"[-73.8749, 40.7047]",-73.8749,I.S. 119 the Glendale,476175,68455,1188,17,Public
,9-12,8,40.7445,High,[u'High'],/new-york-ny/schools/academy-of-finance-and-enterprise-68475/,"[-73.937, 40.7445]",-73.937,Academy of Finance and Enterprise,476194,68475,512,19,Public
,K-5,8,40.6205,Elementary,[u'Elementary'],/new-york-ny/schools/ps-264-bay-ridge-elementary-school-for-the-arts-159760/,"[-74.0286, 40.6205]",-74.0286,Ps 264 Bay Ridge Elementary School For The Arts,695383,159760,482,15,Public
,9-12,7,40.751,High,[u'High'],/new-york-ny/schools/academy-of-american-studies-49051/,"[-73.9373, 40.751]",-73.9373,Academy of American Studies,469618,49051,895,16,Public
,PK-5,7,40.7263,Elementary,[u'Elementary'],/new-york-ny/schools/ps-34-oliver-h-perry-49708/,"[-73.9498, 40.7263]",-73.9498,P.S. 34 Oliver H Perry,467051,49708,480,18,Public
,K-5,7,40.6871,Elementary,[u'Elementary'],/new-york-ny/schools/ps-65-49820/,"[-73.8782, 40.6871]",-73.8782,Ps 65,470218,49820,641,15,Public
,PK-5,7,40.6813,Elementary,[u'Elementary'],/new-york-ny/schools/ps-108-sal-abbracciamento-49822/,"[-73.8843, 40.6813]",-73.8843,Ps 108 Sal Abbracciamento,470221,49822,988,13,Public
,6-8,7,40.6719,Middle,[u'Middle'],/new-york-ny/schools/jhs-292-margaret-s-douglas-49837/,"[-73.8935, 40.6719]",-73.8935,Jhs 292 Margaret S Douglas,470238,49837,622,15,Public
,6-12,7,40.7494,High,"[u'Middle', u'High']",/new-york-ny/schools/east-west-school-of-international-studies-51369/,"[-73.8214, 40.7494]",-73.8214,East West School Of International Studies,468892,51369,679,14,Public
,K-12,7,40.6638,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/achievement-first-east-new-york-charter-school-52237/,"[-73.8933, 40.6638]",-73.8933,Achievement First East New York Charter School,518884,52237,849,12,Charter
,PK-5,7,40.6215,Elementary,[u'Elementary'],/new-york-ny/schools/ps-48-mapleton-52318/,"[-73.9873, 40.6215]",-73.9873,Ps 48 Mapleton,468364,52318,597,15,Public
,6-8,7,40.6382,Middle,[u'Middle'],/new-york-ny/schools/jhs-62-ditmas-52319/,"[-73.9712, 40.6382]",-73.9712,Jhs 62 Ditmas,468365,52319,1179,13,Public
,K-5,7,40.6342,Elementary,[u'Elementary'],/new-york-ny/schools/ps-102-the-bayview-52320/,"[-74.029, 40.6342]",-74.029,Ps 102 The Bayview,468366,52320,1425,16,Public
,PK-5,7,40.6194,Elementary,[u'Elementary'],/new-york-ny/schools/ps-112-lefferts-park-52323/,"[-74.0006, 40.6194]",-74.0006,Ps 112 Lefferts Park,468370,52323,624,14,Public
,K-5,7,40.6237,Elementary,[u'Elementary'],/new-york-ny/schools/ps-127-mckinley-park-52324/,"[-74.0187, 40.6237]",-74.0187,Ps 127 Mckinley Park,468371,52324,526,13,Public
,K-5,7,40.6304,Elementary,[u'Elementary'],/new-york-ny/schools/ralph-a-fabrizio-school-52328/,"[-74.019, 40.6304]",-74.019,Ralph A Fabrizio School,468375,52328,1018,15,Public
,PK-5,7,40.6149,Elementary,[u'Elementary'],/new-york-ny/schools/ps-205-clarion-52338/,"[-73.9871, 40.6149]",-73.9871,Ps 205 Clarion,468387,52338,1187,14,Public
,6-8,7,40.6218,Middle,[u'Middle'],/new-york-ny/schools/jhs-227-edward-b-shallow-52341/,"[-73.9956, 40.6218]",-73.9956,Jhs 227 Edward B Shallow,468390,52341,1271,14,Public
,"K-4, 6-8",7,40.6337,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/is-30-mary-white-ovington-52345/,"[-74.023, 40.6337]",-74.023,Is 30 Mary White Ovington,468394,52345,715,15,Public
,K-5,7,40.6324,Elementary,[u'Elementary'],/new-york-ny/schools/ps-69-vincent-d-grippo-school-52346/,"[-74.0096, 40.6324]",-74.0096,Ps 69 Vincent D Grippo School,468395,52346,844,15,Public
,6-12,7,40.6348,Middle,"[u'Middle', u'High']",/new-york-ny/schools/urban-assembly-school-for-criminal-justice-52349/,"[-73.982, 40.6348]",-73.982,Urban Assembly School for Criminal Justice,468398,52349,531,12,Public
,PK-8,7,40.5959,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-95-the-gravesend-52466/,"[-73.9747, 40.5959]",-73.9747,Ps 95 The Gravesend,468443,52466,936,14,Public
,6-8,7,40.6078,Middle,[u'Middle'],/new-york-ny/schools/is-96-seth-low-52467/,"[-73.9848, 40.6078]",-73.9848,I.S. 96 Seth Low,468445,52467,637,13,Public
,K-5,7,40.6012,Elementary,[u'Elementary'],/new-york-ny/schools/ps-97-the-highlawn-52468/,"[-73.9856, 40.6012]",-73.9856,Ps 97 The Highlawn,468446,52468,835,13,Public
,PK-5,7,40.6165,Elementary,[u'Elementary'],/new-york-ny/schools/ps-199-frederick-wachtel-52477/,"[-73.963, 40.6165]",-73.963,Ps 199 Frederick Wachtel,468457,52477,505,12,Public
,PK-5,7,40.5903,Elementary,[u'Elementary'],/new-york-ny/schools/ps-216-arturo-toscanini-52481/,"[-73.9695, 40.5903]",-73.9695,Ps 216 Arturo Toscanini,468462,52481,691,15,Public
,PK-8,7,40.6152,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-226-alfred-de-b-mason-52483/,"[-73.9768, 40.6152]",-73.9768,Ps 226 Alfred De B Mason,468465,52483,1003,13,Public
,6-8,7,40.5945,Middle,[u'Middle'],/new-york-ny/schools/is-281-joseph-b-cavallaro-52488/,"[-73.9938, 40.5945]",-73.9938,Is 281 Joseph B Cavallaro,468472,52488,1159,15,Public
,6-8,7,40.5823,Middle,[u'Middle'],/new-york-ny/schools/is-303-herbert-s-eisenberg-52490/,"[-73.9717, 40.5823]",-73.9717,Is 303 Herbert S Eisenberg,470515,52490,496,15,Public
,9-12,7,40.6317,High,"[u'Middle', u'High']",/new-york-ny/schools/brooklyn-college-academy-52650/,"[-73.9535, 40.6317]",-73.9535,Brooklyn College Academy,510351,52650,594,21,Public
,6-8,7,40.6066,Middle,[u'Middle'],/new-york-ny/schools/jhs-278-marine-park-52656/,"[-73.9388, 40.6066]",-73.9388,Jhs 278 Marine Park,470595,52656,925,13,Public
,9-12,7,40.6328,High,[u'High'],/new-york-ny/schools/midwood-high-school-52657/,"[-73.9525, 40.6328]",-73.9525,Midwood High School,470596,52657,4003,23,Public
,PK-8,7,40.5972,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-206-joseph-f-lamb-52667/,"[-73.9486, 40.5972]",-73.9486,Ps 206 Joseph F Lamb,470606,52667,1414,17,Public
,PK-5,7,40.6337,Elementary,[u'Elementary'],/new-york-ny/schools/ps-217-colonel-david-marcus-school-52669/,"[-73.9662, 40.6337]",-73.9662,Ps 217 Colonel David Marcus School,470610,52669,1224,16,Public
,PK-5,7,40.6218,Elementary,[u'Elementary'],/new-york-ny/schools/ps-312-bergen-beach-52677/,"[-73.9088, 40.6218]",-73.9088,Ps 312 Bergen Beach,470618,52677,867,15,Public
,6-8,7,40.6125,Middle,[u'Middle'],/new-york-ny/schools/is-381-52685/,"[-73.9517, 40.6125]",-73.9517,Is 381,526593,52685,313,15,Public
,K-12,7,40.6954,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/achievement-first-endeavor-charter-school-52967/,"[-73.9601, 40.6954]",-73.9601,Achievement First Endeavor Charter School,620972,52967,1008,10,Charter
,K-12,7,40.6906,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/leadership-preparatory-bedford-stuyvesant-charter-school-52969/,"[-73.9499, 40.6906]",-73.9499,Leadership Preparatory Bedford Stuyvesant Charter School,504821,52969,776,11,Charter
,"K-1, 5-9",7,40.658,Middle,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/kings-collegiate-charter-school-52972/,"[-73.9201, 40.658]",-73.9201,Kings Collegiate Charter School,497241,52972,527,9,Charter
,K-8,7,40.6771,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/pave-academy-charter-school-52977/,"[-74.0119, 40.6771]",-74.0119,Pave Academy Charter School,549718,52977,437,11,Charter
,5-8,7,40.6881,Middle,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/bedford-stuyvesant-collegiate-charter-school-53176/,"[-73.9315, 40.6881]",-73.9315,Bedford Stuyvesant Collegiate Charter School,502902,53176,477,10,Charter
,K-11,7,40.6621,Elementary,"[u'Elementary', u'Middle', u'High']",/new-york-ny/schools/brooklyn-ascend-charter-school-53177/,"[-73.9211, 40.6621]",-73.9211,Brooklyn Ascend Charter School,501986,53177,1164,14,Charter
,9-12,7,40.7655,High,[u'High'],/new-york-ny/schools/talent-unlimited-high-school-54778/,"[-73.9598, 40.7655]",-73.9598,Talent Unlimited High School,475294,54778,478,19,Public
,6-12,7,40.7614,High,"[u'Middle', u'High']",/new-york-ny/schools/professional-performing-arts-high-school-54782/,"[-73.9886, 40.7614]",-73.9886,Professional Performing Arts High School,535800,54782,546,22,Public
,K-8,7,40.7007,Elementary,"[u'Elementary', u'Middle']",/new-york-ny/schools/ps-8-robert-fulton-63483/,"[-73.993, 40.7007]",-73.993,Ps 8 Robert Fulton,474202,63483,933,15,Public
,K-8,7,40.691,Middle,"[u'Elementary', u'Middle']",/new-york-ny/schools/urban-assembly-academy-of-arts-and-letters-63515/,"[-73.9711, 40.691]",-73.9711,Urban Assembly Academy Of Arts And Letters,474235,63515,517,16,Public
,PK-5,7,40.685,Elementary,[u'Elementary'],/new-york-ny/schools/ps-38-the-pacific-63639/,"[-73.9829, 40.685]",-73.9829,Ps 38 The Pacific,477051,63639,556,14,Public
,PK-5,7,40.6609,Elementary,[u'Elementary'],/new-york-ny/schools/ps-295-63643/,"[-73.9889, 40.6609]",-73.9889,Ps 295,477054,63643,497,14,Public
,PK-5,7,40.6406,Elementary,[u'Elementary'],/new-york-ny/schools/ps-131-63648/,"[-73.993, 40.6406]",-73.993,Ps 131,477059,63648,1099,16,Public
,6-8,7,40.6523,Middle,[u'Middle'],/new-york-ny/schools/sunset-park-prep-63778/,"[-74.0077, 40.6523]",-74.0077,Sunset Park Prep,562854,63778,518,13,Public
,PK-5,7,40.6915,Elementary,[u'Elementary'],/new-york-ny/schools/ps-25-eubie-blake-school-63783/,"[-73.9408, 40.6915]",-73.9408,Ps 25 Eubie Blake School,474409,63783,175,9,Public
,PK-5,7,40.6917,Elementary,[u'Elementary'],/new-york-ny/schools/ps-26-jesse-owens-63784/,"[-73.9312, 40.6917]",-73.9312,Ps 26 Jesse Owens,474410,63784,208,12,Public
